iso3c,country_name,city_name,city_code,income_id,region_id,food_pct,plastic_pct,paper_pct,glass_pct,metal_pct,other_pct,recycling_pct,open_dump_pct,income_label
QAT,Qatar,Doha,doha,HIC,Mid. East & N. Africa,NA,NA,NA,NA,NA,NA,NA,NA,High Income
ROU,Romania,Bucharest,buch,UMIC,Eur. & Cent. Asia,0.384,0.15,0.16,0.052,0.014,0.194,0.248,NA,Upper-Middle Income
ROU,Romania,Cluj-Napoca,cluj,UMIC,Eur. & Cent. Asia,0.67,0.12,0.06,0.02,0.02,0.05,0.01,NA,Upper-Middle Income
RUS,Russian Federation,Kemerovo,keme,UMIC,Eur. & Cent. Asia,0.45,0.13,0.29,0.02,0.02,0.09,NA,NA,Upper-Middle Income
RUS,Russian Federation,Moscow,mosc,UMIC,Eur. & Cent. Asia,0.247,0.162,0.243,0.114,0.02,0.128,0.0673,NA,Upper-Middle Income
RUS,Russian Federation,St.petersburg,stpe,UMIC,Eur. & Cent. Asia,0.311,0.137,0.116,0.111,0.015,0.209,0.0121911573472042,NA,Upper-Middle Income
RWA,Rwanda,Kigali,kgli,LIC,Sub-Saharan Africa,0.753,0.037,0.066,0.011,0.016,0.117,0.0404,0.5233,Low Income
WSM,Samoa,Upolu (Apia),uplu,LMIC,E. Asia & Pacific,0.24,0.25,0.23,0.03,0.11,NA,NA,NA,Lower-Middle Income
SAU,Saudi Arabia,Jeddah,jddh,HIC,Mid. East & N. Africa,0.554,0.05,0.161,0.042,0.029,0.069,NA,NA,High Income
SAU,Saudi Arabia,Riyadh,rydh,HIC,Mid. East & N. Africa,0.572,0.13,0.116,0.03,0.013,0.104,0.03,0.97,High Income
SEN,Senegal,Dakar,daka,LMIC,Sub-Saharan Africa,0.352941176470588,0.0980392156862745,0.0588235294117647,0.0196078431372549,0.00980392156862745,0.343137254901961,NA,0.84,Lower-Middle Income
SRB,Serbia,Belgrade,belg,UMIC,Eur. & Cent. Asia,0.327,0.1,0.1564,0.0477,0.0127,0.0725,0.133,NA,Upper-Middle Income
SRB,Serbia,Novi Sad,novi,UMIC,Eur. & Cent. Asia,0.3762,0.1273,0.1147,0.0544,0.0138,0.0992,0.18,NA,Upper-Middle Income
SLE,Sierra Leone,Freetown,free,LIC,Sub-Saharan Africa,0.78,0.13,NA,0.03,0.02,0.04,NA,0.33,Low Income
SVK,Slovak Republic,Bratislava,brat,HIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,0.31,NA,High Income
SVK,Slovak Republic,Trnava,trnv,HIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,0.2427,NA,High Income
SVN,Slovenia,Ljubljana,ljba,HIC,Eur. & Cent. Asia,NA,NA,NA,NA,NA,NA,0.68,NA,High Income
SLB,Solomon Islands,Honiara,hnra,LMIC,E. Asia & Pacific,0.472,0.164,0.061,0.065,0.105,0.051,NA,NA,Lower-Middle Income
SOM,"Somalia, Fed. Rep.",Mogadishu,moga,LIC,Sub-Saharan Africa,NA,NA,NA,NA,NA,NA,NA,NA,Low Income
ZAF,South Africa,Cape Town,capt,UMIC,Sub-Saharan Africa,0.204,0.143,0.132,0.038,0.02,0.241,0.015,NA,Upper-Middle Income
ZAF,South Africa,Johannesburg,jonb,UMIC,Sub-Saharan Africa,0.34,0.19,0.12,0.09,0.05,0.18,0.115,NA,Upper-Middle Income
SSD,South Sudan,Juba,juba,LIC,Sub-Saharan Africa,0.224,0.21,0.13,0.04,0.05,0.1252,NA,0.002,Low Income
ESP,Spain,Madrid,mdrd,HIC,Eur. & Cent. Asia,0.1882,0.0467,0.1485,0.0577,0.0051,0.2374,NA,NA,High Income
ESP,Spain,Pamplona,pmla,HIC,Eur. & Cent. Asia,0.346,0.093,0.149,0.098,0.026,0.123,0.29,NA,High Income
LKA,Sri Lanka,Colombo,clbo,LMIC,S. Asia,0.48,0.13,0.12,0.04,0.05,0.04,0.0465,0.6975,Lower-Middle Income
